"統計名：","人口推計 各年10月1日現在人口 令和２年国勢調査基準 統計表"
"表番号：","004"
"表題：","都道府県，男女別人口及び人口性比－総人口，日本人人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","/人口 コード","001","001","001","001","002","002","002","002"
"","","","","/人口","総人口","総人口","総人口","総人口","日本人人口","日本人人口","日本人人口","日本人人口"
"","","","","/男女別・性比 コード","001","002","003","004","001","002","003","004"
"時間軸（年月日現在） コード","時間軸（年月日現在）","全国・都道府県 コード","全国・都道府県","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"1701","2022年10月1日現在","35000","山口県","","1,313","624","689","90.6","1,297","616","681","90.5"
"1701","2022年10月1日現在","36000","徳島県","","704","336","368","91.5","698","334","364","91.8"
"1701","2022年10月1日現在","37000","香川県","","934","451","483","93.5","920","444","476","93.4"
"1701","2022年10月1日現在","38000","愛媛県","","1,306","620","686","90.4","1,294","614","680","90.2"
"1701","2022年10月1日現在","39000","高知県","","676","320","356","89.7","671","317","354","89.5"
"1701","2022年10月1日現在","40000","福岡県","","5,116","2,423","2,693","90.0","5,030","2,378","2,653","89.6"
"1701","2022年10月1日現在","41000","佐賀県","","801","380","421","90.3","793","377","417","90.4"
"1701","2022年10月1日現在","42000","長崎県","","1,283","604","679","88.9","1,272","599","674","88.9"
"1701","2022年10月1日現在","43000","熊本県","","1,718","814","904","90.1","1,699","806","894","90.2"
"1701","2022年10月1日現在","44000","大分県","","1,107","526","581","90.6","1,092","519","573","90.6"
"1701","2022年10月1日現在","45000","宮崎県","","1,052","497","555","89.5","1,044","494","551","89.7"
"1701","2022年10月1日現在","46000","鹿児島県","","1,563","738","825","89.5","1,550","733","817","89.7"
"1701","2022年10月1日現在","47000","沖縄県","","1,468","723","746","96.9","1,446","710","736","96.5"
